Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Costa de Marfil|0.4096123|0.3119697|0.66031218|0.72219056|0.37510085|0.42950588|0.58088446|0.47436073|0.78144825|0.37563282|0.41171363|0.78309882|0.34063858|0.40893036|0.46512753|0.47512698|0.40132955|0.76394689|0.38007885|0.42825145|0.31343013|0.76394689|0.37772554|0.51456225|0.57439649|0.40547755|0.27273533|0.32807201|0.45188794|0.425708|0.62903631|0.46553165|0.40934592|0.54190052|0.7686187|0.39304215|0.42361462|0.4147242|0.39552215|0.49942824|0.5830642|0.57953525|0.68917036|0.6500805|0.51173025|0.57063711|0.54954362
Croacia|0.32856444|0.26712847|0.20482911|0.23883359|0.37833714|0.33466357|0.22301292|0.32555628|0.57764018|0.65398169|0.3328318|0.25980729|0.2832512|0.47568393|0.2573368|0.41392136|0.38459808|0.4862659|0.40052706|0.40329403|0.19444647|0.4862659|0.25399825|0.28393704|0.36221892|0.43465567|0.45607591|0.41435|0.24620453|0.38680586|0.39473319|0.34966362|0.23402868|0.2438411|0.2484373|0.22153221|0.28839061|0.22313762|0.3014437|0.35148442|0.31548509|0.25313187|0.46017915|0.2129406|0.35074341|0.33317286|0.22579372
Cuba|0.82381386|0.81104422|0.79870296|0.74677229|0.79896867|0.82934952|0.73124588|0.58218747|0.61833024|0.6823144|0.81051981|0.54360878|0.58463216|0.40139395|0.860834|0.79990333|0.78830296|0.93547833|0.72802466|0.96025312|0.61692643|0.93547833|0.66592741|0.73784328|0.81958574|0.6897012|0.37531817|0.76225126|0.75194359|0.70102549|0.75552803|0.89836466|0.62279403|0.77675319|0.723611|0.68780851|0.7968154|0.79095608|0.4972724|0.59409577|0.85847604|0.75433367|1.0|0.70246887|0.73859537|0.82427227|0.86873043
Curazao|0.74749899|0.60073698|0.76572275|0.64020139|0.72471237|0.80041426|0.78030145|0.68585688|0.86044854|0.83098745|0.8074941|0.95402598|0.68815494|0.65177|0.72980487|0.71096486|0.75641388|0.77407503|0.71655452|0.80414551|0.71067023|0.77407503|0.59395379|0.77312839|0.76099408|0.65600359|0.70268792|0.8416847|0.65719199|0.74438763|0.814569|0.91375673|0.72252512|0.80315804|0.65005505|0.76821673|0.59742868|0.78128219|0.72947872|0.74456561|0.62905669|0.69673467|0.81897753|0.73034763|0.65888697|0.75198811|0.78783685
Dinamarca|0.27500224|0.38684207|0.27235612|0.36498886|0.46715856|0.56329465|0.35465783|0.23538676|0.58986831|0.73222363|0.49138275|0.2866078|0.29148847|0.67254281|0.31773353|0.36537752|0.3150855|0.52957022|0.43428701|0.3065919|0.66261309|0.52957022|0.36287525|0.51024199|0.56583953|0.35143209|0.46715319|0.65442467|0.38791311|0.34511888|0.43199128|0.26318178|0.22744751|0.42149153|0.43625134|0.31578386|0.21845248|0.50776076|0.47313696|0.37239802|0.2668345|0.35760924|0.3510735|0.31265265|0.31073451|0.36471736|0.56989253
Dominica|0.80414504|0.35969621|0.58311415|0.35844839|0.53838062|0.63576728|0.48831782|0.46287745|0.72320735|0.34057954|0.37291795|0.49743205|0.73890716|0.16663094|0.76676738|0.54529071|0.54895782|0.72613835|0.78562021|0.51577264|0.59523642|0.72613835|0.5499419|0.69590324|0.693156|0.36176455|0.2491993|0.45393348|0.60847104|0.47549623|0.59715652|0.52223945|0.69813323|0.61820805|0.48018208|0.54001915|0.36564121|0.38416654|0.37123537|0.47561911|0.61261529|0.33226323|0.55033231|0.71040201|0.53446823|0.53915107|0.35339123
Ecuador|0.9266634|0.74975574|0.97223407|0.93028116|0.87045169|1.0|0.90892166|1.0|0.93935549|0.62027854|0.94100392|0.74092674|0.92771232|0.67726862|0.90674078|0.94110358|1.0|1.0|0.87513441|0.99516374|0.84201121|1.0|0.95806539|0.908952|1.0|1.0|0.74620724|0.72175163|0.93477052|0.86650193|1.0|0.99520004|0.97134066|1.0|0.96644795|0.87375343|0.85491526|0.73864943|0.79461175|0.78959537|1.0|0.98317498|0.65712619|0.98720944|0.90696549|1.0|0.93198645
Egipto|0.013956017|0.0|0.056503497|0.26341301|0.077051468|0.017039215|0.030331187|0.0047093271|0.24658372|0.0064741615|0.0|1.0|0.35578892|0.61805332|0.0028671161|0.097281978|0.0|0.011792746|0.25331283|0.043100726|0.25225246|0.011792746|0.0|0.24263862|0.083716258|0.13106459|0.0|0.0|0.2548863|0.012621961|0.0089060292|0.0033980031|0.12906823|0.031322919|0.13490786|0.33121276|0.034981638|0.34789437|0.15584803|0.029548699|0.030872315|0.022195719|0.25007772|0.064304255|0.052061312|0.0429608|0.095883965
El Salvador|0.64068455|0.56936157|0.78162265|0.6896078|0.80499154|0.8665272|0.81300706|0.45704371|0.47153527|0.54930776|0.48391426|0.47034401|0.80814588|0.29078984|0.82173014|0.80324435|0.83324015|0.72084284|0.79779661|0.48180115|0.71341813|0.72084284|0.80680048|0.73200744|0.75315422|0.86620665|0.55635679|0.74410599|0.75887001|0.68097299|0.78878832|0.45333907|0.75677371|0.83164918|0.75666082|0.77520072|0.53565586|0.7041654|0.54138041|0.71483046|0.84786761|0.83779204|0.49038842|0.84455943|0.70214373|0.75560927|0.79707199
Emiratos Árabes Unidos|0.58499664|0.45543098|0.48631972|0.23456055|0.355492|0.45828807|0.48469037|0.59090352|0.52882218|0.64382637|0.28582036|0.88984442|0.51156801|0.69777083|0.66277611|0.44820398|0.6437667|0.3336544|0.53062272|0.53048348|0.56725132|0.3336544|0.53914911|0.31183493|0.22920901|0.6060282|0.69885814|0.75245571|0.59693539|0.60556281|0.55229008|0.56308156|0.64198828|0.2648927|0.55970097|0.5960362|0.74569511|0.55356985|0.42960894|0.62201339|0.28923535|0.20678213|0.075901486|0.43851873|0.58519506|0.49659395|0.47585553
Eritrea|0.34053475|0.29548472|0.25126883|0.29483834|0.35170949|0.28273404|0.29104862|0.38159013|0.31490973|0.28903025|0.34235495|0.38374984|0.26590994|0.23350897|0.3890292|0.21918629|0.35956132|0.61382586|0.28313178|0.42538303|0.227484|0.61382586|0.29786614|0.34909654|0.45590377|0.31721821|0.19378194|0.29844797|0.2429854|0.39584857|0.50052172|0.40994489|0.30237356|0.30631003|0.23620889|0.2945357|0.32007664|0.32449436|0.32416245|0.41942573|0.36660904|0.2748355|0.42636931|0.27177089|0.28073525|0.42982113|0.29572785
Eslovaquia|0.71606046|0.66698015|0.26301801|0.18750513|0.81889635|0.17139848|0.52847981|0.30680895|0.18158945|0.51988578|0.32510322|0.24345087|0.6582731|0.43671852|0.28667212|0.34179485|0.28156888|0.47240767|0.60096633|0.38163137|0.38985848|0.47240767|0.23746893|0.27068129|0.35030076|0.20152341|0.52362907|0.29530594|0.25165766|0.30560139|0.38266736|0.3333596|0.20650859|0.21099576|0.14766817|0.1942766|0.28061777|0.21761405|0.86293721|0.34083569|0.23710367|0.23306409|0.44934797|0.19465718|0.22959663|0.31847882|0.19175243
Eslovenia|0.33505583|0.43365204|0.25937933|0.21105252|0.34041584|0.2039921|0.20596528|0.33757338|0.53622687|0.84234464|0.3393409|0.26649171|0.31543559|0.66519445|0.30792841|0.33826366|0.31112301|0.49980557|0.24303007|0.41538739|0.19804448|0.49980557|0.41860193|0.45508313|0.37487751|0.20792642|0.52703446|0.5836671|0.16410671|0.33509964|0.40745884|0.25019145|0.19244117|0.22045481|0.15786043|0.35555184|0.29217255|0.27834022|0.30792522|0.36081928|0.43383288|0.55770856|0.46959686|0.29300249|0.33064604|0.34859174|0.38061839
España|0.90113187|0.77582633|0.74791163|0.47267473|0.8951574|0.59863454|0.61247814|0.27639955|0.78628403|0.84591699|0.79102528|0.23360676|0.63097483|0.80805331|0.58397114|0.6486972|0.68029761|0.5898478|0.59242272|0.84575492|0.72471559|0.5898478|0.61267066|0.46774232|0.63777196|0.5573656|0.76771545|0.86762714|0.57439762|0.58468407|0.80405951|0.69817901|0.68297803|0.5976311|0.61355448|0.52811807|0.75234312|0.67859566|0.73636746|0.53214192|0.65317833|0.71533012|0.40415531|0.64068544|0.4840765|0.70382333|0.64396018
Estados Unidos|0.87717557|1.0|0.89368594|0.72659451|0.94078898|0.81960344|0.82801175|0.60415632|1.0|0.96371603|0.85658121|0.58769441|0.90189481|1.0|0.92352194|0.85988593|0.81533456|0.87822425|1.0|0.90108061|1.0|0.87822425|0.84432673|0.8725245|0.90148687|0.67000365|1.0|0.95425886|0.83234143|0.75107503|0.96924949|0.94008923|0.88735926|0.98937577|0.83132064|0.95731515|0.93503433|0.8960098|0.88149357|0.9104678|0.81632298|0.82914764|0.44338459|0.67849076|0.86904287|0.9479996|0.90274739
Estonia|0.30375615|0.61837649|0.53867656|0.18429095|0.71516323|0.18898314|0.20952231|0.28683728|0.49452966|0.23597851|0.52934635|0.2174356|0.73028469|0.69403851|0.32129478|0.39431769|0.34598631|0.4472701|0.22230688|0.35865352|0.4387055|0.4472701|0.23036952|0.27759123|0.32265803|0.21702582|0.53331649|0.42677772|0.14369562|0.36647868|0.3602916|0.31017232|0.7865665|0.21710412|0.1435104|0.18825808|0.26062369|0.25442821|0.28767979|0.32888523|0.21794949|0.22949786|0.42338008|0.4464159|0.42281911|0.46897948|0.20645058
Etiopía|0.2037822|0.20620891|0.12813352|0.24867821|0.18445489|0.16130577|0.38779789|0.25679076|0.26991373|0.21254468|0.19257915|0.19768435|0.04072088|0.049219422|0.16030607|0.10222541|0.18831746|0.48975915|0.16470583|0.18643844|0.1678355|0.48975915|0.21419293|0.15657856|0.36545449|0.2433797|0.45301133|0.15850046|0.15695247|0.20292208|0.39798838|0.22994679|0.22415492|0.1588303|0.61998022|0.20278773|0.22852966|0.24801946|0.17022523|0.26132488|0.29203725|0.13803264|0.17984322|0.71465349|0.1141938|0.33641225|0.48737651
Filipinas|0.128959|0.42160526|0.34415534|0.67177516|0.10893072|0.20039111|0.53873122|0.12309524|0.35808903|0.1374108|0.15620135|0.16441926|0.27448562|0.3140502|0.32478014|0.037879083|0.30121177|0.25516188|0.089885496|0.096759029|0.40835798|0.25516188|0.64683795|0.58745432|0.36859143|0.66328216|0.28267348|0.11050792|0.42899606|0.151392|0.20178691|0.20661858|0.11294097|0.50065905|0.42525539|0.10515174|0.098308653|0.08740133|0.15893951|0.18477045|0.57757574|0.17284137|0.072710194|0.33459377|0.3405298|0.28468657|0.10403508
Finlandia|0.25422457|0.51054704|0.19337748|0.15059544|0.30206186|0.17711487|0.25145137|0.29855904|0.16250674|0.55476224|0.23819196|0.22927268|0.55647552|0.74512684|0.26021194|0.30023381|0.27550012|0.45732969|0.17938337|0.36493516|0.55449808|0.45732969|0.3197962|0.25687063|0.33208969|0.17275959|0.53004736|0.42335823|0.19901994|0.28290343|0.36977106|0.22043531|0.65803421|0.18526196|0.17470247|0.50304466|0.42969984|0.2607255|0.20585826|0.24478036|0.16673264|0.36403382|0.43245995|0.1587739|0.38785344|0.30572742|0.51362908
Fiyi|0.07584022|0.051999234|0.44775414|0.040478144|0.082767226|0.03985709|0.060107946|0.076806001|0.15969989|0.071344852|0.05929517|0.063734561|0.57307172|0.12257466|0.093302369|0.30317235|0.073291659|0.1395712|0.2896086|0.10483378|0.035246111|0.1395712|0.080306806|0.043748796|0.078993157|0.053669527|0.036827151|0.064236842|0.046449378|0.10100508|0.10730375|0.077912778|0.048976019|0.043758478|0.10019854|0.064631864|0.050116464|0.045387767|0.042605028|0.10621335|0.066826582|0.039443608|0.20079821|0.04022513|0.061913595|0.060120899|0.054695249
Francia|0.58851755|0.76124299|0.57204461|0.42373824|0.84101105|0.50820673|0.59002006|0.26325363|0.76943719|0.86494803|0.70213139|0.30586419|0.68123949|0.78755093|0.56344765|0.61105853|0.47721082|0.57162261|0.51258928|0.32850996|0.67003155|0.57162261|0.58575463|0.53785926|0.62024808|0.51163673|0.66707695|0.85187292|0.53327465|0.55926192|0.71308488|0.27401671|0.36836815|0.59117353|0.46016985|0.57735968|0.80243993|0.63834858|0.65858042|0.56388533|0.62252247|0.56887656|0.50336742|0.51268691|0.58241653|0.65113002|0.60808897
Gabón|0.29268092|0.24233592|0.68763232|0.31187403|0.26935285|0.29760578|0.43460041|0.43640795|0.15586056|0.30404621|0.30706978|0.78761262|0.12860551|0.12684354|0.38332367|0.011005064|0.28464407|0.7137934|0.30911815|0.34584522|0.24493885|0.7137934|0.22312686|0.3807666|0.53482485|0.26388636|0.35439926|0.24722132|0.39098531|0.29873922|0.58886832|0.40375456|0.32236546|0.44615722|0.54568827|0.30953452|0.34971505|0.33548158|0.26773602|0.40109354|0.39221805|0.27777818|0.33615643|0.2824187|0.24631923|0.52820259|0.30724514
Gambia|0.43733308|0.41879481|0.50473535|0.40213665|0.4083479|0.37376165|0.38431528|0.50226116|0.35521725|0.40032876|0.69469756|0.4174813|0.23761365|0.28751111|0.49357104|0.50039905|0.4291195|0.80885994|0.35540351|0.47307497|0.33756173|0.80885994|0.43575674|0.3841626|0.61148691|0.43106815|0.30755436|0.68335187|0.35560575|0.45447221|0.66376579|0.81865907|0.4489232|0.40014476|0.31690657|0.42395371|0.45155302|0.43220198|0.42593318|0.52770311|0.48741782|0.33836806|0.3937341|0.39488888|0.41059446|0.60780239|0.44124204
Georgia|0.092269227|0.10881734|0.14852574|0.10317568|0.15322712|0.48451453|0.25522858|0.13021597|0.521276|0.1190033|0.15257347|0.53919613|0.34743619|0.58816206|0.12352207|0.31257355|0.10789119|0.23299098|0.086887635|0.20112428|0.31780916|0.23299098|0.10267264|0.12126996|0.15617619|0.48982239|0.43186194|0.09486863|0.065420069|0.1750918|0.18318453|0.17677316|0.099889219|0.079105206|0.073572703|0.12219776|0.10114125|0.10282367|0.10568257|0.16141988|0.10247073|0.080035292|0.38447893|0.073701821|0.13198103|0.1238479|0.38636732
Ghana|0.35989147|0.29836884|0.69082749|0.64873111|0.30526644|0.50311571|0.57454443|0.45342344|0.66852582|0.35229215|0.39907658|0.3697575|0.15458801|0.22705311|0.44927627|0.45135307|0.37498081|0.74190813|0.36175293|0.39324731|0.29875559|0.74190813|0.52666759|0.33664906|0.5534274|0.53112578|0.43961453|0.31836933|0.55844742|0.41236281|0.61052394|0.44674361|0.35766166|0.3579776|0.79080498|0.49736229|0.40814322|0.39610818|0.37476283|0.48645109|0.43741995|0.50401735|0.32966769|0.43476325|0.62840641|0.69208491|0.71032858
Gibraltar|0.17326747|0.15151656|0.10598862|0.14384308|0.2011748|0.10847007|0.14112478|0.19028851|0.419368|0.167436|0.22836782|0.18688013|0.38536331|0.35668007|0.20799968|0.46211845|0.18499824|0.32556239|0.12604637|0.25236791|0.12026757|0.32556239|0.16867453|0.15194133|0.22201423|0.14612429|0.10587494|0.17483252|0.1216625|0.23489317|0.26100087|0.21218526|0.15336969|0.1273431|0.10312285|0.1540152|0.15713149|0.16462363|0.15203282|0.22281384|0.18420774|0.11355315|0.56696373|0.10630171|0.15451226|0.1953723|0.15348379
Granada|0.44157523|0.42539018|0.68086112|0.6190691|0.46054637|0.75007284|0.5490793|0.54896867|0.74807531|0.42970842|0.45604783|0.48475656|0.63400102|0.27884454|0.81826079|0.55285633|0.49010202|0.90506554|0.83537316|0.58964115|0.66557658|0.90506554|0.46308219|0.65526927|0.6750586|0.5465343|0.6126231|0.39598656|0.42526132|0.51512897|0.73406124|0.56871367|0.6007005|0.73384809|0.61684167|0.71620059|0.47943985|0.47848591|0.43377674|0.57794368|0.52606547|0.70380998|0.56364357|0.42183983|0.6478287|0.68809605|0.75977278
Grecia|0.23550949|0.24887703|0.56804895|0.31477058|0.51986855|0.44578737|0.25868896|0.28005594|0.51301324|0.68680143|0.25065815|0.20770442|0.28834671|0.71644187|0.505041|0.26907262|0.2513555|0.43583569|0.38297486|0.34902942|0.50301224|0.43583569|0.52205586|0.3983503|0.31232643|0.16992092|0.43463111|0.461698|0.47412115|0.59814727|0.64489126|0.30047092|0.52357745|0.17121014|0.57125705|0.51337963|0.24559236|0.2034642|0.28094986|0.32202253|0.2040218|0.36694169|0.41091913|0.2890569|0.55735105|0.52174246|0.20346887
Groenlandia|0.45748618|0.42900032|0.36528584|0.42098498|0.46338779|0.42261893|0.44561058|0.53550804|0.42253077|0.42602473|0.4655107|0.48922086|0.38853967|0.35977799|0.51651311|0.46531504|0.49347872|0.85085738|0.42732018|0.54665077|0.36054501|0.85085738|0.4401978|0.47296178|0.64656907|0.43847114|0.33298275|0.41986957|0.40210944|0.53655684|0.69387984|0.53094405|0.46932805|0.44933233|0.37650114|0.44205117|0.46601769|0.44939333|0.45720017|0.54573405|0.50591183|0.43067181|0.58347744|0.38428763|0.47324449|0.64298666|0.44965157
Guatemala|0.79179001|0.77248943|0.81321073|0.82986975|0.70735431|0.78186685|0.72189116|0.56570041|0.86386102|0.47130346|0.75632262|0.52122229|0.67102242|0.50252771|0.65362203|0.81083119|0.74293321|0.87257981|0.78004754|0.57711112|0.49243313|0.87257981|0.67716086|0.72924829|0.84479094|0.82406068|0.72350061|0.6945101|0.74904394|0.69786632|0.91005063|0.6387825|0.80549437|0.81264651|0.79829282|0.72843772|0.72342241|0.83535171|0.64344108|0.5980444|0.8768931|0.82066536|0.57398349|0.88618219|0.64139885|0.86250257|0.73760009
Guinea|0.42294455|0.40144137|0.75384903|0.38515323|0.39119333|0.38701975|0.41048336|0.48227179|0.45505381|0.38335729|0.42234015|0.40243459|0.40679863|0.25175315|0.47326016|0.48308656|0.41743726|0.78093123|0.39081091|0.44183636|0.32367161|0.78093123|0.41574627|0.36918694|0.58930993|0.41631436|0.28560099|0.33859703|0.36717346|0.43397149|0.64136016|0.4765144|0.42303216|0.53420836|0.4395909|0.40655538|0.43703568|0.55671865|0.40608391|0.50749207|0.46154195|0.40878212|0.36225146|0.38016948|0.39550638|0.58283383|0.42353278
Guinea-Bisáu|0.43425354|0.41294676|0.66538715|0.39907199|0.40526652|0.52955508|0.4219107|0.4991712|0.35214674|0.39726526|0.43919802|0.41159019|0.44680995|0.28174382|0.48770243|0.49730223|0.42603594|0.80526251|0.41055408|0.46995956|0.33453089|0.80526251|0.43266472|0.55866259|0.60818315|0.42795292|0.30454096|0.355322|0.36243701|0.45133227|0.66043961|0.49383852|0.38552964|0.42428434|0.33621219|0.41810125|0.44846088|0.65944344|0.42285693|0.52459151|0.48428953|0.48156297|0.39059487|0.39177698|0.50851941|0.60174704|0.43810642
Guyana|0.81992054|0.38052773|0.7508111|0.62216359|0.68789911|0.76147914|0.8607806|0.47157454|0.77305371|0.35556832|0.52518517|0.44370306|0.71181923|0.26988634|0.59491754|0.66514385|0.71748191|0.82770085|0.42261666|0.53960592|0.67627841|0.82770085|0.7066499|0.7981205|0.76623857|0.53997529|0.47826171|0.51723671|0.78951371|0.46372488|0.67834735|0.64459497|0.54144156|0.78039908|0.74650824|0.81904972|0.39868194|0.44229597|0.38259402|0.5361836|0.49986643|0.81467646|0.53041494|0.85181963|0.56890243|0.62759566|0.7006827
Haití|0.82717454|0.51362216|0.80827916|0.56742287|0.56201613|0.74730206|0.75725079|0.57404131|0.93136042|0.48049855|0.49791807|0.55165386|0.61096531|0.3684147|0.65787053|0.6567601|0.61008477|0.90864742|0.62695897|0.59491622|0.40536165|0.90864742|0.65085602|0.66138756|0.7735579|0.54997194|0.37057984|0.58788908|0.54772437|0.76927614|0.73737675|0.73128569|0.50070077|0.84982377|0.69276464|0.75806737|0.48836923|0.70723343|0.50728196|0.58644193|0.73413157|0.78090203|0.59134138|0.79459161|0.6738655|0.79253751|0.71927929
Honduras|0.62889934|0.77867544|0.84311283|0.83583307|0.73815882|0.91381162|0.86897373|0.53094077|0.36096054|0.43732932|0.77855039|0.51835549|0.79943848|0.29428279|0.84350109|0.8670643|0.76559752|0.84715861|0.77636415|0.74989229|0.72133982|0.84715861|0.82674587|0.78291678|0.80460274|0.86932611|0.41907313|0.71274137|0.71960461|0.73913729|0.69048476|0.47997957|0.77694809|0.85937726|0.85774159|0.85561872|0.47572005|0.77668053|0.59873581|0.72027856|0.7157957|0.88473749|0.58799386|0.86524367|0.63196594|0.8156929|0.76445168
Hungría|0.31781054|0.75693023|0.59799737|0.19095412|0.81019229|0.2517958|0.30092245|0.30373481|0.17578657|0.24439019|0.26656982|0.24032524|0.43933538|0.32075402|0.26992518|0.30956495|0.26972321|0.4688493|0.18239951|0.37853295|0.27986184|0.4688493|0.45278752|0.44355404|0.34702259|0.39879996|0.7169714|0.26102707|0.53805423|0.38109002|0.37936789|0.32749429|0.33731002|0.19220848|0.23337236|0.19810697|0.27754152|0.5241012|0.22218548|0.3377409|0.22728929|0.38705975|0.44622681|0.46336994|0.3014296|0.31519651|0.37451839
India|0.040091835|0.11452945|0.16519552|0.058126085|0.030611077|0.28692925|0.33389899|0.052828789|0.018621149|0.052878253|0.028482221|0.030814774|0.45780644|0.1770561|0.030379724|0.0|0.40774369|0.10903957|0.44701198|0.065575019|0.36544028|0.10903957|0.10607739|0.10938832|0.05426307|0.25372255|0.22361857|0.12452595|0.2880131|0.04538057|0.082132079|0.054283857|0.34336251|0.062990785|0.46369964|0.71997857|0.28442836|0.083383523|0.59007001|0.052613385|0.12515229|0.46163955|0.078733101|0.28574294|0.074615993|0.18869147|0.31965682
Indonesia|0.049047858|0.49427962|0.22180973|0.33249551|0.037319355|0.22676617|0.098863319|0.072613448|0.13596855|0.066953398|0.020144425|0.12847716|0.30746061|0.45478398|0.033242188|0.12819396|0.23292354|0.12179889|0.50844842|0.091736987|0.015363634|0.12179889|0.64337385|0.22704291|0.065461904|0.034297287|0.24603114|0.055953488|0.23969994|0.068059012|0.093449697|0.1212156|0.0130117|0.37852335|0.20684394|0.13149823|0.11878251|0.15800366|0.51032269|0.041454382|0.20786613|0.30763021|0.19382888|0.50863469|0.065913685|0.14229704|0.016369272
Iraq|0.34715587|0.30492526|0.43024027|0.29866174|0.35833684|0.43279266|0.63693625|0.38824651|0.318753|0.29559696|0.34624881|0.85610378|0.39648438|0.44181529|0.39579213|0.28977558|0.37169054|0.61945581|0.29257086|0.43487293|0.23119272|0.61945581|0.33876103|0.353165|0.46053791|0.69444096|0.1974315|0.30229306|0.38488781|0.40267444|0.50523168|0.41675732|0.30916491|0.63195705|0.6262908|0.45572084|0.3267405|0.51229507|0.3307724|0.4234083|0.37064806|0.44292712|0.43594006|0.46048972|0.31644696|0.43447|0.29979181
Irlanda|0.6653344|0.66238606|0.37068906|0.2516461|0.36832714|0.52205449|0.26639056|0.37457952|0.56433392|0.73500991|0.53436327|0.32466179|0.3631129|0.78412366|0.39979607|0.39832434|0.35213453|0.59346086|0.4578416|0.48627213|0.48758951|0.59346086|0.60574639|0.50618947|0.43877745|0.37907773|0.64201218|0.6444146|0.61272395|0.57872236|0.48314887|0.31310415|0.4131844|0.27944407|0.47336829|0.47735929|0.51038104|0.45386773|0.34444064|0.4123382|0.3120741|0.48720127|0.51661116|0.51988208|0.43426341|0.5661093|0.26131734
Irán|0.15241942|0.12412126|0.35299885|0.14675644|0.089432776|0.09518344|0.095114157|0.15733868|0.10763791|0.19076866|0.1278511|0.20370495|0.037898511|0.30372721|0.16701619|0.092725903|0.15443055|0.39546171|0.14066529|0.18919286|0.1532238|0.39546171|0.46795493|0.085489035|0.28105414|0.40210104|0.082533196|0.08158122|0.10776545|0.2889871|0.31812012|0.15582368|0.17089459|0.28847775|0.10673606|0.17910463|0.14706409|0.14684829|0.13676371|0.17010009|0.24108618|0.086421236|0.24435782|0.12778002|0.28386363|0.25731975|0.13800709
Islandia|0.20996264|0.17747706|0.17498884|0.21790576|0.28075328|0.16444263|0.19079307|0.23248577|0.37540144|0.22377257|0.29150391|0.15410566|0.33725044|0.72175121|0.29850453|0.45852911|0.26041424|0.43218097|0.2085266|0.2465196|0.17218061|0.43218097|0.19016607|0.21133676|0.30898517|0.2113857|0.13724096|0.24200292|0.15391532|0.2859391|0.34925818|0.20941085|0.24749112|0.24775819|0.15368828|0.60008287|0.25143555|0.23716587|0.22510813|0.31115204|0.28448808|0.20977575|0.25317657|0.18709072|0.23360199|0.29083449|0.23743674
Islas Turcas y Caicos|0.50366938|0.52060133|0.50804472|0.47969666|0.50972009|0.60224819|0.76145303|0.59627068|0.46798104|0.49563035|0.76970923|0.56260073|0.45407748|0.39838895|0.79859698|0.53213024|0.54273403|0.96652097|0.80277896|0.60947663|0.42475486|0.96652097|0.51422745|0.53478932|0.72192848|0.47930896|0.39577726|0.47360486|0.48885989|0.59038472|0.77929413|0.78759766|0.51134121|0.86933494|0.4282777|0.61025369|0.52146423|0.49907815|0.5168522|0.61100149|0.55879331|0.57602|0.63999629|0.63144493|0.74179339|0.72968674|0.51686502
Israel|0.53512895|0.5000692|0.48216408|0.5317921|0.29900479|0.43933445|0.43015516|0.16418299|0.71704775|0.48438531|0.41539589|0.31101573|0.4003385|0.75372392|0.44130567|0.23217502|0.29754338|0.31226981|0.56169218|0.27467316|0.34806195|0.31226981|0.49717671|0.50202894|0.4489556|0.30885774|0.66241932|0.44740766|0.37794173|0.17219177|0.24932018|0.15282552|0.65191686|0.50657952|0.21554762|0.63411081|0.27098069|0.46602315|0.095483564|0.2121985|0.13290323|0.43367514|0.23275653|0.49969977|0.24318033|0.38851175|0.48263597
Italia|0.85379744|0.8060286|0.50123721|0.34387535|0.71860111|0.44265229|0.54165226|0.34216475|0.75586915|0.88955128|0.54415047|0.27686787|0.5456897|0.76851583|0.62055075|0.53885901|0.51968551|0.5098753|0.74873739|0.29664701|0.52511877|0.5098753|0.54205543|0.55546314|0.61729443|0.46965361|0.69581449|0.66349721|0.47127032|0.51843834|0.41606846|0.24699208|0.58509547|0.5243659|0.39908183|0.47355276|0.5402934|0.21002077|0.69778454|0.27889207|0.60041541|0.60400569|0.47445348|0.53802437|0.52105623|0.60505402|0.32912141
Jamaica|0.71926153|0.39414594|0.78763092|0.71089303|0.79090554|0.80595064|0.73773968|0.4858568|0.81575847|0.36576399|0.55566925|0.4543955|0.69848347|0.60639286|0.78037107|0.55684537|0.76091725|0.84119576|0.69464839|0.56540269|0.43524301|0.84119576|0.54582137|0.70938563|0.79539573|0.68596208|0.64556801|0.64139158|0.7955519|0.51010859|0.68741858|0.48695508|0.54617488|0.82094228|0.7202301|0.78452444|0.41180193|0.56533027|0.52348447|0.76222265|0.82485372|0.73331255|0.53833139|0.74001205|0.64495111|0.76575702|0.71504253
Japón|0.47968629|0.58429217|0.22473651|0.53831041|0.56509221|0.22964868|0.2345255|0.056095183|0.43199825|0.30833873|0.45166472|0.045529947|0.62612492|0.79121161|0.18878919|0.171363|0.092785977|0.10418543|0.32009155|0.08894521|0.71728075|0.10418543|0.21131057|0.062439583|0.050136708|0.022197099|0.6272853|0.37441024|0.34952193|0.1390565|0.077950321|0.017036609|0.43909734|0.30285138|0.29594091|0.32769823|0.17788656|0.11888807|0.48594946|0.045232397|0.099493653|0.14217432|0.088084728|0.20898631|0.093949974|0.20947599|0.28820932
