Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Otros agrícola|Otros pecuario|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Dominica|0.27081776|0.25942165|0.31208014|0.25338867|0.2078695|0.36942291|0.21130039|0.4445582|0.22071718|0.013704516|0.45046628|0.21351852|0.31634086|0.18340252|0.23421475|0.54512942|0.35846734|0.18399119|0.48500955|0.31075811|0.097803846|0.23737316|0.28740227|0.097803846|0.1416122|0.18353719|0.33371651|0.22449657|0.19154033|0.42068401|0.28040296|0.38939855|0.18783069|0.37063128|0.11209202|0.22324225|0.13232017|0.13508976|0.45789582|0.19274798|0.15735626|0.097803846|0.15343368
Ecuador|0.506567|0.33223802|0.73609042|0.7340706|0.48432106|0.58355427|0.61302876|0.29739574|0.37440401|0.030956028|0.47454071|0.3140533|0.44542688|0.32134682|0.57285303|0.60107774|0.66008037|0.45115095|0.34123212|0.43097436|0.35178521|0.60424763|0.47366422|0.35178521|0.63282871|0.4247734|0.38675806|0.54225981|0.474731|0.19151464|0.54653931|0.48352036|0.58712822|0.30034173|0.55737776|0.49395066|0.65277874|0.6751827|0.41279411|0.6388526|0.52438116|0.35178521|0.62205493
Egipto|0.74128258|0.58024073|0.50347096|0.42983255|0.43613872|0.45085865|0.60560626|0.5149945|0.49352425|0.51418948|0.33092284|0.83485019|0.58033502|0.76845831|0.42413002|0.50910592|0.43741992|0.38178432|0.25566959|0.60960674|0.74050945|0.6344496|0.47080845|0.74050945|0.72016811|0.59987867|0.5441823|0.550955|0.57619441|0.73667711|0.4327721|0.444305|0.66483235|0.64628851|0.87300086|0.75212592|0.79233253|0.77990448|0.33221465|0.72307456|0.53865266|0.74050945|0.57863808
El Salvador|0.73079777|0.48851204|0.77220047|0.69668418|0.53842902|0.71199787|0.63216043|0.63237405|0.25214094|0.7945047|0.68114144|0.80783057|0.613446|0.37984684|0.63832223|0.75169832|0.85654086|0.60740387|0.741135|0.75653797|0.66563565|0.59794605|0.71236527|0.66563565|0.72695911|0.61933982|0.71677732|0.62552297|0.52737892|0.81315112|0.6032719|0.64953578|0.61872178|0.59830463|0.72846937|0.45724958|0.85726786|0.7440083|0.64970577|0.64355046|0.73551738|0.66563565|0.59923279
Emiratos Árabes Unidos|0.69155061|0.75724357|0.7020179|0.57144046|0.84014559|0.80813968|0.81400692|0.95347351|0.74743611|0.80917788|0.80472326|0.88938159|0.74676394|0.76181245|0.86870557|0.70193517|0.86303771|0.89291942|0.65305007|0.83116287|0.71337622|0.72157663|0.67422354|0.71337622|0.76050419|0.81821537|0.88631934|0.88626647|0.81438696|0.93307555|0.77651393|0.70508492|0.80784184|0.79570842|0.84657884|0.94160724|0.80994046|0.70203191|0.67018956|0.77970487|0.82058775|0.71337622|0.85981119
Eritrea|0.33034474|0.077241004|0.40445435|0.29914227|0.63482678|0.30736798|0.36009172|0.14668395|0.35613203|0.0|0.16420433|0.22013447|0.053618204|0.10845071|0.11434089|0.16600572|0.14786489|0.070831895|0.091707699|0.068793945|0.0|0.29303336|0.18395126|0.0|0.24511604|0.22850376|0.2665453|0.19411501|0.30235165|0.16315022|0.063131422|0.18651977|0.34968013|0.35787374|0.31683803|0.25728056|0.15109375|0.18049517|0.11451218|0.27809203|0.16617337|0.0|0.25604123
Eslovaquia|0.78917539|0.71406901|0.85112107|0.74893856|0.80678093|0.78593981|0.98073894|0.92707038|0.65039957|0.84606934|0.82471478|0.7650485|0.88683677|0.74580026|0.82979417|0.76596403|0.86024189|0.71225893|0.88370669|0.89427817|0.74834436|0.75234729|0.78974479|0.74834436|0.78046012|0.89910626|0.81369209|0.84441286|0.77515745|0.89660466|0.762761|0.89726233|0.79284209|0.8896606|0.69935274|0.67970031|0.73640347|0.87513232|0.99011838|0.73472607|0.79380834|0.74834436|0.73041213
Eslovenia|0.7784282|0.76527619|0.86928356|0.80286223|0.78780138|0.79404032|0.7631011|0.79012835|0.91665947|0.95408618|0.79166424|0.78275061|0.88395357|0.81779385|0.85342884|0.8004545|0.80259126|0.78724653|0.8028549|0.74793136|0.82776982|0.7999723|0.84040821|0.82776982|0.89127064|0.90439439|0.81684029|0.73827398|0.72709548|0.84577626|0.80522287|0.83730459|0.86362785|0.82612908|0.75966036|0.74186361|0.84740043|0.89801902|0.8934629|0.9584235|0.79678333|0.82776982|0.81740034
España|0.85759616|0.94579536|0.92045116|0.77725053|0.82483786|0.85678554|0.89812523|0.80643284|0.95146763|0.89846259|0.72809625|0.71758747|0.91677636|0.87928939|0.90302527|0.79575634|0.76718724|0.89570862|0.75698251|0.76911294|0.76346993|0.89929652|0.80059516|0.76346993|0.90467775|0.74215806|0.7570399|0.78592145|0.83639407|0.92979968|0.85350788|0.73206609|0.82518625|0.82044154|0.93893343|0.795663|0.89534891|0.88911808|0.74859846|0.94443583|0.93702245|0.76346993|0.72761512
Estados Unidos|0.90222549|1.0|0.98521852|0.72962201|1.0|1.0|1.0|0.57729685|0.97459656|1.0|1.0|0.83087254|0.95709205|1.0|0.99302351|0.85474133|0.77102566|1.0|0.75140476|0.96720946|0.90284801|1.0|0.9563458|0.90284801|1.0|0.95352542|0.98131514|0.97014081|1.0|0.6867978|1.0|1.0|1.0|1.0|0.62925458|0.97358811|0.77564514|0.80910891|0.69727111|0.98176003|1.0|0.90284801|0.91389477
Estonia|0.81139266|0.79604876|0.87224042|0.85727841|0.78092819|0.85393405|0.79481053|0.90753853|0.81707191|0.86657077|0.91898799|0.71437782|0.95026737|0.7399016|0.7998718|0.68893456|0.93259561|0.77889979|0.86503512|0.93940485|0.86296183|0.74139392|0.85254824|0.86296183|0.8022868|0.87958717|0.88002855|0.75725693|0.68339312|0.8322823|0.78082567|0.86810613|0.86723888|0.91075331|0.66334987|0.77003926|0.76481211|0.81236649|0.85699701|0.74513507|0.79963303|0.86296183|0.88584894
Etiopía|0.56695616|0.12128785|0.18427734|0.61809355|0.18352038|0.21775237|0.24012837|0.11429664|0.58100361|0.21221057|0.1599586|0.063872263|0.18118371|0.039347619|0.30999941|0.37768188|0.32162952|0.13890408|0.13944721|0.089301556|0.22705483|0.3948687|0.22444582|0.22705483|0.37821841|0.25355098|0.2192996|0.32884473|0.23418108|0.19862089|0.16236|0.26750737|0.31889701|0.20897382|0.43884254|0.13515139|0.32275018|0.42203885|0.084153146|0.2703121|0.29810965|0.22705483|0.32474676
Filipinas|0.68774903|0.58576202|0.82779419|0.74082971|0.6672684|0.6712023|0.54059118|0.78026402|0.69793344|0.29053712|0.72063017|0.73983043|0.7209602|0.62973124|0.54031283|0.5275023|0.7070353|0.62427509|0.70416588|0.80628526|0.77952325|0.63159263|0.64677572|0.77952325|0.70046687|0.44071579|0.5406161|0.70880204|0.64681727|0.88344985|0.55853981|0.68857014|0.67466056|0.68261516|0.76463151|0.58648467|0.72621363|0.73532391|0.84548163|0.70691121|0.56470281|0.77952325|0.69352543
Finlandia|0.86347467|0.86045623|0.9323734|0.74421728|0.87725073|0.87480259|0.92403066|0.73346126|0.7834745|0.87408912|0.89483106|0.74305338|0.86508983|0.91093981|0.82688022|0.86987877|0.90912533|0.84339857|0.8577894|0.87219137|0.88530642|0.81888187|0.857517|0.88530642|0.85784614|0.92221373|0.86166048|0.8652882|0.76446629|0.80575669|0.85649359|0.91669202|0.88395417|0.77075827|0.74823177|0.79160756|0.6475994|0.7863543|0.62467134|0.82854176|0.83122838|0.88530642|0.840505
Fiyi|0.59014475|0.50060999|0.45936888|0.48452622|0.50648373|0.56136143|0.45994973|0.34306234|0.5556758|0.25499022|0.51172596|0.52536702|0.51710606|0.23878124|0.485246|0.44934794|0.58112442|0.46606821|0.27303493|0.56682336|0.37254208|0.55211461|0.56750649|0.37254208|0.32933909|0.27923155|0.61797822|0.43540174|0.54278731|0.64332604|0.51692331|0.41586727|0.39305285|0.4270688|0.58555758|0.70918524|0.5328775|0.50421655|0.41988546|0.37236619|0.48213753|0.37254208|0.53620595
Francia|0.88180518|0.92854851|0.92479753|0.88716024|0.9092896|0.92502987|0.86602235|0.97378421|0.70161533|0.9341926|0.76858437|0.82668668|0.9880603|0.883816|0.93544698|0.93487716|0.74090481|0.86193258|0.93452662|0.97411066|0.82427597|0.93204606|0.98390973|0.82427597|0.83714843|0.92536569|0.94854015|0.83729267|0.75399053|0.87791353|0.87960351|0.94283324|0.91575539|0.90717232|0.7704134|1.0|0.93535465|0.91249692|0.67768228|0.94835472|0.94004929|0.82427597|0.76024795
Gabón|0.11569262|0.41819173|0.22596964|0.2379978|0.32077751|0.27417874|0.31236917|0.62140018|0.22738853|0.10178132|0.32383364|0.4735162|0.24033861|0.066417396|0.25979632|0.17938545|0.27298304|0.28636897|0.47419873|0.32519788|0.27464518|0.14034031|0.35689294|0.27464518|0.16175562|0.26998514|0.21033141|0.24966362|0.16539599|0.36255783|0.25539821|0.31841147|0.39030701|0.14243662|0.22695695|0.35747832|0.15822746|0.1847406|0.56127793|0.22778031|0.15406123|0.27464518|0.36137834
Gambia|0.48610157|0.22073156|0.43031517|0.24918322|0.31728673|0.33741492|0.1911298|0.62862563|0.64719665|0.33295962|0.41657102|0.34167668|0.30936605|0.29920334|0.2628895|0.36764172|0.32899666|0.19052736|0.5102976|0.401815|0.30830169|0.13512005|0.29036579|0.30830169|0.17631561|0.13220054|0.31938565|0.17246714|0.14189237|0.47753674|0.13688135|0.33838218|0.24289306|0.35212293|0.41181642|0.18418431|0.15498899|0.16123818|0.24229504|0.16927078|0.4220525|0.30830169|0.31753194
Georgia|0.629076|0.62608874|0.75053823|0.5544886|0.7532984|0.73998344|0.5821923|0.78333426|0.81186259|0.7101171|0.54750168|0.55654603|0.79744828|0.67593062|0.69839466|0.56722784|0.79263318|0.59636235|0.72449386|0.74248135|0.60127926|0.62345767|0.78332114|0.60127926|0.66139221|0.81177986|0.57102191|0.58283472|0.56326747|0.78740627|0.71008658|0.78544343|0.64522624|0.72038794|0.52587175|0.48428908|0.60868925|0.56714314|0.79349601|0.54015195|0.63964355|0.60127926|0.45456731
Ghana|0.49453437|0.53842604|0.49189517|0.58143008|0.47302204|0.55497867|0.52333611|0.75329435|0.52584255|0.19623075|0.61348605|0.55377877|0.25434041|0.33294412|0.59658742|0.51593459|0.57167363|0.58083427|0.53645551|0.38893709|0.39237142|0.36423379|0.56444043|0.39237142|0.42684567|0.34614527|0.33666265|0.43022889|0.38688838|0.53613734|0.40338242|0.5495156|0.57341695|0.46104923|0.42179221|0.60612822|0.44796562|0.52650279|0.50236452|0.46803337|0.51157367|0.39237142|0.52899861
Gibraltar|0.11897279|0.14278752|0.16503933|0.079003721|0.11897773|0.094708025|0.099268138|0.15754968|0.14129134|0.21638665|0.19773003|0.24334818|0.13636582|0.14164966|0.10781708|0.13810746|0.13592494|0.11681336|0.26981336|0.13279095|0.42458269|0.097965635|0.087238617|0.42458269|0.076393783|0.21014541|0.1428522|0.094644882|0.31480384|0.13088891|0.17074701|0.16885298|0.086568907|0.11654617|0.083723947|0.26008368|0.091725305|0.092839219|0.24601686|0.15135011|0.093380466|0.42458269|0.39848608
Granada|0.34468582|0.49220043|0.52828753|0.31864423|0.40744877|0.47919953|0.35252076|0.64232743|0.5694986|0.34883234|0.63539332|0.44253826|0.37047452|0.41858953|0.38119227|0.63629615|0.47225261|0.40230095|0.64193386|0.45800716|0.27162826|0.33457154|0.53238487|0.27162826|0.27398378|0.4041262|0.47987774|0.29794538|0.35600334|0.6300385|0.36919981|0.55235875|0.26306364|0.54985338|0.29269823|0.38381016|0.37950739|0.24280506|0.48276621|0.30297887|0.33090064|0.27162826|0.27314252
Grecia|0.75710404|0.76882899|0.88182998|0.84265971|0.83646464|0.86530507|0.73527515|0.92072892|0.9416008|0.76719648|0.82907939|0.9818967|0.84109712|0.82622099|0.88140059|0.67956161|0.86718094|0.86539102|0.79887199|0.8996141|0.75229174|0.82668942|0.91843772|0.75229174|0.86656773|0.78537571|0.72903049|0.75161636|0.82042825|1.0|0.82481933|0.70832181|0.7748152|0.80501181|0.81790149|0.85417187|0.92011213|0.81854159|0.97419977|0.86878669|0.87242502|0.75229174|0.76327157
Groenlandia|0.082029209|0.21325186|0.17728931|0.14085332|0.23362246|0.13604791|0.15143445|0.16659604|0.11326776|0.40251207|0.21105811|0.3175301|0.27661085|0.14442304|0.22000852|0.14572105|0.13118085|0.17474458|0.35268736|0.3326402|0.42458269|0.10232016|0.2104595|0.42458269|0.071728714|0.20341638|0.25386533|0.12527139|0.21963465|0.24579312|0.28477585|0.25714481|0.20251495|0.21215501|0.10141495|0.19545093|0.10928335|0.11477891|0.30889601|0.12261413|0.19964349|0.42458269|0.28873676
Guatemala|0.51041782|0.47012079|0.7112819|0.67160392|0.53157431|0.64843249|0.55217254|0.64753461|0.15411057|0.38351688|0.51775652|0.58442718|0.5520339|0.24156225|0.59273237|0.61634082|0.58671874|0.5277527|0.51754504|0.51366222|0.47046608|0.53148717|0.629897|0.47046608|0.56300002|0.4782998|0.46485913|0.53784615|0.55617934|0.64921057|0.56190395|0.47599041|0.54473525|0.473158|0.58924562|0.47227883|0.79518986|0.66689587|0.57309067|0.62487811|0.57252806|0.47046608|0.56396198
Guinea|0.27901408|0.31543881|0.42306286|0.3246851|0.41327205|0.39915562|0.41875002|0.57304668|0.4966644|0.35524052|0.28004748|0.40811968|0.2720331|0.1503135|0.4674108|0.29872805|0.35507789|0.41049528|0.32808018|0.3019318|0.41071498|0.14861375|0.42334342|0.41071498|0.23185557|0.19414756|0.27653736|0.31190413|0.22923107|0.23857817|0.24175632|0.44063455|0.39699376|0.28670555|0.37421113|0.36736804|0.20402503|0.31408018|0.38517767|0.22229238|0.39542305|0.41071498|0.43031186
Guinea-Bisáu|0.26255432|0.3096801|0.43491504|0.13781068|0.26850596|0.28117692|0.14768648|0.45462823|0.29862687|0.31720787|0.60941124|0.32680669|0.3283509|0.16729203|0.27535856|0.1585328|0.31855917|0.16851553|0.33601764|0.40854812|0.48025405|0.17486235|0.27929705|0.48025405|0.20435397|0.10928825|0.24596304|0.15455949|0.11871618|0.37303266|0.15602435|0.2869885|0.19819671|0.22858721|0.32918936|0.20745194|0.18248761|0.35184407|0.28269368|0.16140173|0.13563025|0.48025405|0.19671653
Guyana|0.25124621|0.23173177|0.33208156|0.43635944|0.28458089|0.35683364|0.370166|0.29463619|0.43605191|0.14489213|0.45488816|0.24618271|0.37349397|0.39622399|0.32317704|0.41409963|0.36605883|0.30168417|0.49597418|0.37732983|0.38845611|0.28649104|0.45680201|0.38845611|0.19276202|0.15940276|0.32709408|0.27498341|0.21286465|0.45943469|0.36170897|0.35433596|0.40749943|0.23979709|0.25388065|0.23791942|0.23934512|0.27052644|0.34595379|0.33929014|0.22901845|0.38845611|0.86937666
Haití|0.35157889|0.17073116|0.30061367|0.076255217|0.24124956|0.22672522|0.16372545|0.44772455|0.46770829|0.18493956|0.25804335|0.071469598|0.058829445|0.071836554|0.30524951|0.16140017|0.30885893|0.15083566|0.21249123|0.02611036|0.12959777|0.07813257|0.33636564|0.12959777|0.10758572|0.070126817|0.1347827|0.076634817|0.20222244|0.21656811|0.11857088|0.08555422|0.098398298|0.12434296|0.30582017|0.094869874|0.1927864|0.20213386|0.44497502|0.11683258|0.2873345|0.12959777|0.076058127
Honduras|0.46183681|0.29552805|0.76183313|0.62536943|0.57082045|0.70645893|0.55569756|0.51811171|0.2466283|0.6231913|0.70804411|0.42581281|0.53963542|0.37073123|0.57991326|0.72747266|0.69691646|0.53555739|0.65691817|0.36562431|0.6956073|0.50074387|0.75462854|0.6956073|0.6545701|0.44522136|0.50068009|0.5331499|0.49805421|0.55797601|0.57240117|0.59220016|0.56544614|0.51889837|0.64428532|0.4908185|0.70483172|0.5890826|0.737288|0.57734907|0.71401817|0.6956073|0.47678638
Hungría|0.67458963|0.63261503|0.72531009|0.79948825|0.77198803|0.76836389|0.83670664|0.7770921|0.83133119|0.8514365|0.66612256|0.65414435|0.77409971|0.6451689|0.76172066|0.64965785|0.73807204|0.69347179|0.76766491|0.76309925|0.83166116|0.58207637|0.78692842|0.83166116|0.65850163|0.75272012|0.66843069|0.73169625|0.71550107|0.77618659|0.71725059|0.79841161|0.849621|0.72946697|0.73707813|0.65815151|0.80214667|0.844015|0.87010556|0.80184376|0.73270875|0.83166116|0.59219533
India|0.88691455|0.27316242|0.37895858|0.86218637|0.37773114|0.51724911|0.60865486|0.21690464|0.21494749|0.22015616|0.5582912|0.12716781|0.56083429|0.56115472|0.45072275|0.2214734|0.4653579|0.4620389|0.20801817|0.23034734|0.63541955|0.69901562|0.3974919|0.63541955|0.44154555|0.43776608|0.64360464|0.71307713|0.53024936|0.27705938|0.4175536|0.49156988|0.7121197|0.5101788|0.40560296|0.40469453|0.80589312|0.84806603|0.32069612|0.85715759|0.47875115|0.63541955|0.55210316
Indonesia|0.30604669|0.45216176|0.71508199|0.63136005|0.42461646|0.46484601|0.69035244|0.34649241|0.85579026|0.26355577|0.39186189|0.71127105|0.64885795|0.45815337|0.4711898|0.51297241|0.48021138|0.64144653|0.42984658|0.391765|0.74333465|0.60780925|0.60470843|0.74333465|0.54064989|0.48328227|0.59584761|0.66400969|0.54980302|0.73057622|0.43992954|0.62167799|0.77838641|0.44579744|0.7144196|0.36368763|0.66948599|0.78326774|0.43812573|0.77540827|0.57555544|0.74333465|0.40887517
Iraq|0.52230692|0.18455811|0.62452352|0.33124423|0.5812242|0.59530145|0.43506819|0.50894713|0.5666703|0.63663626|0.33655107|0.52114362|0.47186893|0.40045965|0.4747535|0.23747513|0.5343883|0.38496676|0.37213212|0.47229189|0.23958001|0.42995852|0.36409885|0.23958001|0.36614788|0.4099949|0.56816041|0.4971523|0.63040853|0.46409208|0.48329329|0.55643296|0.44540635|0.49922007|0.4599188|0.42471933|0.36537331|0.39381129|0.22070464|0.31869125|0.45894974|0.23958001|0.4504703
Irlanda|0.84823084|0.65386546|0.87503779|0.89431465|0.88438052|0.8775751|0.7524026|0.85964525|0.89000344|0.85499507|0.84518081|0.67559004|0.82865453|0.77634192|0.87478685|0.95598936|0.87709236|0.82407594|0.78225505|0.82003152|0.9327662|0.84439266|0.92849499|0.9327662|0.76756728|0.84210014|0.8097285|0.80165333|0.86942798|0.83947593|0.86619484|0.84946907|0.82055295|0.83321702|0.85442859|0.8427273|0.79855269|0.82133675|0.76771438|0.89915514|0.87921065|0.9327662|0.94764173
Irán|0.62093443|0.092549153|0.46240222|0.32796124|0.082169026|0.19131014|0.47163683|0.41952193|0.11789112|0.74873447|0.081443317|0.39285219|0.34548274|0.56697881|0.07345888|0.10136907|0.10800414|0.060981575|0.06874986|0.26963747|0.4581852|0.51793665|0.16835809|0.4581852|0.4543319|0.31667146|0.15940976|0.49403238|0.13465227|0.098582946|0.23016974|0.17214419|0.4046551|0.3454361|0.73280388|0.3526805|0.61292905|0.44444364|0.099370718|0.52446741|0.340215|0.4581852|0.29616162
Islandia|0.65698814|0.7025907|0.80753541|0.59915733|0.8324706|0.77782798|0.69990498|0.56984639|0.67522693|0.73926914|0.83671463|0.64153987|0.82538456|0.76488268|0.76829189|0.88513899|0.78865093|0.70135754|0.69261408|0.82435393|0.8502022|0.67802536|0.87241626|0.8502022|0.67318678|0.77405226|0.78816307|0.77066332|0.72183323|0.54614687|0.82800949|0.89271212|0.64854604|0.84103012|0.63219088|0.76283896|0.58691823|0.59391958|0.6386621|0.76884085|0.75229454|0.8502022|0.8937186
Islas Turcas y Caicos|0.12761378|0.22461547|0.11693474|0.10382564|0.28136206|0.142662|0.10471503|0.26778978|0.124069|0.4573946|0.35974175|0.35067689|0.14461437|0.27304223|0.094818182|0.20871422|0.17933579|0.22047955|0.24481446|0.16873817|0.42458269|0.090145662|0.13767621|0.42458269|0.11058331|0.37257755|0.26957113|0.091835305|0.33812234|0.21193662|0.20996046|0.36098015|0.12076243|0.38962105|0.18654318|0.26960802|0.12762664|0.10388258|0.32477871|0.10757077|0.098971389|0.42458269|0.20036921
Israel|0.7838397|0.82823294|0.91205662|0.60607219|0.86174822|0.9296478|0.77218038|0.6049186|0.94866037|0.62909347|0.86068982|0.99103731|0.92311513|0.85701954|0.87156558|0.75528657|0.91681045|0.79927742|0.30402881|0.88299042|0.93613875|0.83344078|0.83255112|0.93613875|0.80611682|0.67228961|0.73677504|0.7938844|0.79847342|0.72620308|0.80066371|0.9244532|0.85452873|0.88107711|0.87899864|0.88256329|0.85405195|0.85713327|0.47074103|0.78628457|0.84032714|0.93613875|0.95060885
Italia|0.92910266|0.93514305|0.73183656|0.82642841|0.8491236|0.75263238|0.81118631|0.81741154|0.97025335|0.82975745|0.71190834|0.97363436|0.75413048|0.93631476|0.86584526|0.6055271|0.7231971|0.77350205|0.68768048|0.66249961|0.77496129|0.86457527|0.77885598|0.77496129|0.84414482|0.76920354|0.77573538|0.80951178|0.71206242|0.88783026|0.79156947|0.7634052|0.83555877|0.77415574|0.9292593|0.93494791|0.97165954|0.96289134|0.97044623|0.96596211|0.85860616|0.77496129|0.77038622
Jamaica|0.3802273|0.54116338|0.53930217|0.30761987|0.37275082|0.45614374|0.38434538|0.46362519|0.54161525|0.1048675|0.53850126|0.53556561|0.42409578|0.38381371|0.35069084|0.59216952|0.41994718|0.33532971|0.43274367|0.21594384|0.29887491|0.24911511|0.70307708|0.29887491|0.36101949|0.46372992|0.42173272|0.2949478|0.40998241|0.48884621|0.34474483|0.45423809|0.29849631|0.52529144|0.45584664|0.50938821|0.42930907|0.32723761|0.42731187|0.29673421|0.26170573|0.29887491|0.3674742
Japón|0.72691745|0.81952947|0.85640931|0.65783662|0.75952607|0.78991461|0.61956429|0.84350896|0.75841111|0.77181756|0.82090878|0.90648323|0.79266727|0.89497519|0.69227242|0.65444821|0.63335419|0.81146336|0.9101212|0.77205658|0.88175428|0.88275939|0.70803803|0.88175428|0.88562977|0.7563163|0.78266907|0.74803048|0.86571091|0.71772331|0.8356868|0.75397485|0.65362275|0.84861779|0.89079595|0.92097795|0.52559835|0.65352321|0.87661624|0.73802173|0.77419412|0.88175428|0.48039335
Jordania|0.50380987|0.411273|0.54958117|0.2857281|0.38165313|0.40361038|0.31533578|0.52117205|0.66445649|0.55330884|0.39860857|0.68241274|0.5566287|0.68624038|0.37153399|0.37059668|0.50195527|0.32468641|0.28816643|0.62530577|0.2127957|0.48930493|0.34680781|0.2127957|0.39585179|0.47297782|0.49769926|0.38613835|0.56684935|0.59917867|0.34814543|0.39741117|0.33456475|0.45287848|0.64069521|0.7834444|0.61730349|0.49088424|0.15354449|0.49099037|0.44765371|0.2127957|0.43656057
Kazajistán|0.48187542|0.55167395|0.57661712|0.61265206|0.6963473|0.72223741|0.73124212|0.730618|0.70576656|0.67638886|0.67307609|0.54866129|0.66872644|0.57350957|0.68045133|0.53113747|0.70082283|0.61292613|0.68215579|0.6058743|0.70432997|0.70618868|0.69135207|0.70432997|0.61916745|0.76010227|0.70497912|0.64835787|0.65808725|0.70388508|0.66863859|0.7667256|0.68396258|0.62638366|0.48368579|0.54594433|0.56688666|0.63130075|0.49864328|0.549752|0.6439749|0.70432997|0.70728588
Kenia|0.60717654|0.089096054|0.15425609|0.47911099|0.26003677|0.28970277|0.35716903|0.16095775|0.52066016|0.080327868|0.3269307|0.14778025|0.26359254|0.44770399|0.29549325|0.40200251|0.26380891|0.12788875|0.096745998|0.19791138|0.19613241|0.33122376|0.25297964|0.19613241|0.47463915|0.32347128|0.13816953|0.3172785|0.26102138|0.31591779|0.22600712|0.28975058|0.4154675|0.31962436|0.46986538|0.12175624|0.54366106|0.50749838|0.25416616|0.42406058|0.43337691|0.19613241|0.32803988
Kirguistán|0.43108308|0.23898059|0.48091555|0.49384919|0.49818137|0.47274658|0.47751647|0.63938409|0.55902934|0.6423825|0.52733612|0.35354531|0.60292643|0.46183038|0.72663879|0.50631416|0.55002916|0.44578958|0.40158671|0.43493915|0.48914897|0.43306637|0.43752348|0.48914897|0.48732701|0.6029526|0.55076444|0.39030814|0.3591713|0.29181933|0.41060695|0.62464666|0.49109185|0.46398968|0.32340565|0.3745721|0.35627782|0.42842811|0.3595469|0.39092296|0.66761446|0.48914897|0.46410432
Kuwait|0.3132275|0.3727541|0.3673141|0.29329205|0.3961587|0.37581459|0.32908732|0.35659203|0.40013641|0.44593251|0.28319818|0.40441033|0.41249043|0.34142947|0.37566504|0.32474256|0.33606684|0.39891323|0.28071672|0.41186422|0.75638938|0.36994547|0.29786414|0.75638938|0.32577616|0.45219359|0.42768073|0.35269386|0.42828125|0.39715624|0.3804605|0.35095245|0.30626681|0.39961368|0.35259393|0.46411872|0.33164003|0.33490169|0.26436925|0.33048862|0.36263889|0.75638938|0.35429576
Laos|0.15682912|0.16761297|0.26525319|0.39484364|0.19307441|0.20649445|0.25105596|0.18129978|0.48903263|0.30308694|0.31943536|0.42232352|0.12467898|0.19189554|0.18172878|0.10847873|0.3054105|0.42406523|0.239829|0.24193382|0.29462779|0.17045087|0.43327907|0.29462779|0.14621837|0.29883775|0.22551543|0.30417508|0.23790209|0.17786169|0.20018274|0.33495387|0.3873941|0.23629692|0.11536738|0.39178398|0.34665102|0.22704306|0.4527837|0.23870851|0.25551522|0.29462779|0.27609342
Lesoto|0.16393957|0.19846897|0.31882128|0.15667468|0.13645801|0.16062605|0.094458796|0.35264131|0.10526272|0.3066259|0.29534459|0.28135383|0.10405917|0.16431075|0.2657811|0.39912668|0.2450936|0.31521267|0.3756904|0.10694047|0.092473663|0.15563734|0.1422482|0.092473663|0.15741003|0.15283912|0.18985|0.11516099|0.091151468|0.25209028|0.067229226|0.13002165|0.10418036|0.15162188|0.35553563|0.2493718|0.22814646|0.087995961|0.30285621|0.099729151|0.37630361|0.092473663|0.096582726
Letonia|0.80608416|0.8026371|0.88677096|0.89103931|0.74938208|0.8348012|0.80804408|0.88316309|0.8770951|0.92181003|0.85225445|0.69591808|0.88115972|0.73272014|0.81627047|0.76216245|0.87030733|0.72343206|0.89884716|0.92217064|0.79623586|0.72584337|0.84623206|0.79623586|0.75424707|0.85307401|0.90751553|0.76707071|0.73154521|0.86880195|0.81079435|0.82061523|0.77110374|0.87732148|0.78149509|0.73643291|0.78765213|0.74698633|0.92639565|0.68395203|0.77036107|0.79623586|0.83173078
Liberia|0.39717776|0.45755446|0.3714816|0.30321622|0.1417771|0.27130735|0.27205497|0.59529346|0.36214405|0.085459292|0.34488317|0.48074073|0.22286054|0.2867744|0.31695923|0.3963846|0.25835025|0.21206596|0.40830588|0.33942652|0.25620654|0.30937305|0.38944775|0.25620654|0.2490252|0.10620908|0.31631097|0.21743686|0.25599614|0.28473219|0.19355889|0.27110061|0.27792895|0.22193395|0.54335642|0.46895412|0.22153573|0.3455624|0.66698784|0.2509003|0.20849839|0.25620654|0.3846187
Libia|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0091681294|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.064946212|0.0|0.0|0.064946212|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.064946212|0.0
